name,abbreviation,year_established,type,latitude,longitude,location
Delta University for Science and Technology,DUST,2006,Private,31.4425975,31.4938895,"جامعة الدلتا للعلوم والتكنولوجيا, الطريق الساحلى الدولى, جمصة, الدقهلية, 35712, مصر"
Egyptian Chinese University,ECU,2016,Private,30.0340923,31.3590828,"الجامعة المصرية الصينية فرع مدينة نصر, 40, شارع مساكن النقابات, مساكن الطوب الرملى, مدينة نصر, القاهرة, 11762, مصر"
Egyptian Russian University,ERU,2006,Private,30.1432405,31.7186691,"الجامعة المصرية الروسية, ميدان الجامعة الروسية, المنطقة الترفيهية, بدر, القاهرة, 11829, مصر"
El Shorouk Academy,SHA,1995,Private,30.1195281,31.6068780,"El Shorouk Academy, طريق الحريه, مدينة الشروق, ماي فير, القاهرة, 19511, مصر"
Future University in Egypt,FUE,2006,Private,30.0270854,31.4917417,"جامعة المستقبل, شارع التسعين الشمالى, أحياء اللوتس, القاهرة, 11865, مصر"
German International University,GIU,2018,Private,30.0043968,31.7006677,"الجامعة الألمانية الدولية للعلوم التطبيقية, محور الشيخ محمد بن زايد الجنوبي, لافيستا سيتي, العاصمة الإدارية الجديدة, القاهرة, 11845, مصر"
German University in Cairo,GUC,2003,Private,29.9877558,31.4419752,"الجامعة الألمانية بالقاهرة, محور جمال عبد الناصر, التجمع الثالث, القاهرة, 11835, مصر"
Heliopolis University,HU,2012,Private,30.1527530,31.4297416,"Heliopolis University, 3, شارع اللاسلكي, القاهرة, 11785, مصر"
Horus University,HUE,2019,Private,31.4491267,31.6573282,"جامعة حورس, طريق مضيق دمياط الجديدة, مدينة دمياط الجديدة, دمياط الجديدة, دمياط, 34517, مصر"
Innovation University,IU,2021,Private,30.3215965,31.7393984,"Innovation University, طريق مصر النور, المنطقة الصناعية ج5, 71, العاشر من رمضان, الشرقية, 44634, مصر"
Merit University,MUE,2019,Private,26.4457823,31.6631888,"Merit University, 6, منطقة الجامعات و المعاهد, سوهاج الجديدة, الوادي الجديد, مصر"
Misr International University,MIU,1996,Private,30.1688083,31.4930397,"Misr International University, طريق القاهرة, الاسماعيليه الصحراوي, الشروق, القاهرة, القليوبية, 11785, مصر"
Misr University for Science and Technology,MUST,1996,Private,29.9954310,30.9653999,"جامعة مصر للعلوم والتكنولوجيا, 9, محور 26 يوليو, الحي السابع, السادس من أكتوبر, الجيزة, 12568, مصر"
Nahda University,NUB,2006,Private,29.0492846,31.1181089,"جامعة النهضة ببنى سويف, شارع احمد شوقى, المجاورة 5, New Bani Suef City, بنى سويف, 62517, مصر"
Newgiza University,NGU,2016,Private,30.0168154,31.0657250,"NEWGIZA UNIVERSITY, شارع كليف, الحى 1, الشيخ زايد, الجيزة, 12556, مصر"
October 6 University,O6U,1996,Private,29.9769369,30.9484518,"تطوير محور المركزي و تغيير الاتجاهات, المحور المركزى, الحي السابع, السادس من أكتوبر, الجيزة, 12591, مصر"
Pharos University in Alexandria,PUA,2007,Private,31.2058893,29.9607316,"جامعة فاروس بالإسكندرية, شارع قنال المحمودية, الإسكندرية, 21615, مصر"
Sinai University,SU,2006,Private,31.1137701,33.6913557,"Sinai University (Arish Branch), 40, El Masaaid, Arish, شمال سيناء, مصر"
Sphinx University,-,2019,Private,27.2694419,31.2692518,"Sphinx University جامعه سفنكس, cafe_way, المنطقة الاقليميه, New Asyut, أسيوط, 71684, مصر"
