name,abbreviation,year_established,type,latitude,longitude,location,driving_distance_km,driving_time_minutes
Helwan National University,HNU,2022,National,29.8705051,31.3166605,"جامعة حلوان الاهلية, شارع شركه النصر, وادي حوف, حلوان, القاهرة, 11795, مصر",112.36,87
Mansoura National University,MANSNU,2022,National,31.4486944,31.4809210,"جامعة المنصورة الأهلية, الطريق الساحلى الدولى, جمصة, الدقهلية, 35712, مصر",122.45,101
Menoufia National University,MNU,2022,National,30.6108020,31.1097195,"Menoufia National University - جامعة المنوفية الاهلية, كوبرى طوخ, طنبشا, شبين الكوم, المنوفية, 32651, مصر",54.42,46
Alamein International University,AIU,2020,National,30.8140870,28.9297635,"جامعة العلمين الدولية, طريق البترول ابو سنان, العلمين, مطروح, مصر",294.22,224
Egypt-Japan University of Science and Technology,E-JUST,2010,National,30.8585059,29.5649376,"Egypt-Japan University of Science and Technology, شارع الدكتور احمد زويل, New Borg el-Arab, مطروح, 21934, مصر",256.13,181
Galala University,GU,2020,National,29.4309385,32.4018271,"جامعة الجلالة, طريق الجلالة, السويس الجديدة, السويس, مصر",203.94,145
King Salman International University,KSIU,2020,National,29.5891624,32.7714109,"KSIU, طريق شرم الشيخ الدولي, جنوب سيناء, مصر",208.35,162
New Mansoura University,NMU,2021,National,31.4606344,31.4559443,"New Mansoura University, الطريق الساحلى الدولى, الدقهلية, 7731168, مصر",124.52,101
Nile University,NU,2006,National,30.0091536,30.9859887,"Nile University, محور 26 يوليو, رويال سيتى, الجيزة, 12573, مصر",107.73,86
Ahram Canadian University,ACU,2005,Private,29.9370204,30.8838285,"جامعة الأهرام الكندية, شارع 26, المنطقة الصناعية, الحي الثاني عشر, السادس من أكتوبر, الجيزة, 12581, مصر",121.87,106
Arab Open University,AOU,2002,Private,30.0635290,31.3455894,"الجامعة العربية المفتوحة, شارع مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة, 11391, مصر",75.12,65
British University in Egypt,BUE,2005,Private,30.1187457,31.6106136,"الجامعة البريطانية فى مصر, طريق الحريه, مدينة الشروق, ماي فير, القاهرة, 19511, مصر",64.42,57
Canadian International College,CIC,2004,Private,30.0353671,31.4300627,"Canadian International College, شارع ثروت عكاشة, أحياء جنوب الأكاديمية, القاهرة, 15153, مصر",77.94,66
Delta University for Science and Technology,DUST,2006,Private,31.4425975,31.4938895,"جامعة الدلتا للعلوم والتكنولوجيا, الطريق الساحلى الدولى, جمصة, الدقهلية, 35712, مصر",120.35,98
Egyptian Chinese University,ECU,2016,Private,30.0340923,31.3590828,"الجامعة المصرية الصينية فرع مدينة نصر, 40, شارع مساكن النقابات, مساكن الطوب الرملى, مدينة نصر, القاهرة, 11762, مصر",79.58,68
Egyptian Russian University,ERU,2006,Private,30.1432405,31.7186691,"الجامعة المصرية الروسية, ميدان الجامعة الروسية, المنطقة الترفيهية, بدر, القاهرة, 11829, مصر",73.0,60
El Shorouk Academy,SHA,1995,Private,30.1195281,31.6068780,"El Shorouk Academy, طريق الحريه, مدينة الشروق, ماي فير, القاهرة, 19511, مصر",64.31,56
Future University in Egypt,FUE,2006,Private,30.0270854,31.4917417,"جامعة المستقبل, شارع التسعين الشمالى, أحياء اللوتس, القاهرة, 11865, مصر",80.13,68
German International University,GIU,2018,Private,30.0043968,31.7006677,"الجامعة الألمانية الدولية للعلوم التطبيقية, محور الشيخ محمد بن زايد الجنوبي, لافيستا سيتي, العاصمة الإدارية الجديدة, القاهرة, 11845, مصر",91.84,71
German University in Cairo,GUC,2003,Private,29.9877558,31.4419752,"الجامعة الألمانية بالقاهرة, محور جمال عبد الناصر, التجمع الثالث, القاهرة, 11835, مصر",85.25,72
Heliopolis University,HU,2012,Private,30.1527530,31.4297416,"Heliopolis University, 3, شارع اللاسلكي, القاهرة, 11785, مصر",58.56,50
Horus University,HUE,2019,Private,31.4491267,31.6573282,"جامعة حورس, طريق مضيق دمياط الجديدة, مدينة دمياط الجديدة, دمياط الجديدة, دمياط, 34517, مصر",125.88,103
Innovation University,IU,2021,Private,30.3215965,31.7393984,"Innovation University, طريق مصر النور, المنطقة الصناعية ج5, 71, العاشر من رمضان, الشرقية, 44634, مصر",53.66,49
Merit University,MUE,2019,Private,26.4457823,31.6631888,"Merit University, 6, منطقة الجامعات و المعاهد, سوهاج الجديدة, الوادي الجديد, مصر",582.31,427
Misr International University,MIU,1996,Private,30.1688083,31.4930397,"Misr International University, طريق القاهرة, الاسماعيليه الصحراوي, الشروق, القاهرة, القليوبية, 11785, مصر",64.22,55
Misr University for Science and Technology,MUST,1996,Private,29.9954310,30.9653999,"جامعة مصر للعلوم والتكنولوجيا, 9, محور 26 يوليو, الحي السابع, السادس من أكتوبر, الجيزة, 12568, مصر",111.24,90
Nahda University,NUB,2006,Private,29.0492846,31.1181089,"جامعة النهضة ببنى سويف, شارع احمد شوقى, المجاورة 5, New Bani Suef City, بنى سويف, 62517, مصر",216.08,160
Newgiza University,NGU,2016,Private,30.0168154,31.0657250,"NEWGIZA UNIVERSITY, شارع كليف, الحى 1, الشيخ زايد, الجيزة, 12556, مصر",104.57,84
October 6 University,O6U,1996,Private,29.9769369,30.9484518,"تطوير محور المركزي و تغيير الاتجاهات, المحور المركزى, الحي السابع, السادس من أكتوبر, الجيزة, 12591, مصر",113.54,93
Pharos University in Alexandria,PUA,2007,Private,31.2058893,29.9607316,"جامعة فاروس بالإسكندرية, شارع قنال المحمودية, الإسكندرية, 21615, مصر",192.09,160
Sinai University,SU,2006,Private,31.1137701,33.6913557,"Sinai University (Arish Branch), 40, El Masaaid, Arish, شمال سيناء, مصر",256.3,192
Sphinx University,-,2019,Private,27.2694419,31.2692518,"Sphinx University جامعه سفنكس, cafe_way, المنطقة الاقليميه, New Asyut, أسيوط, 71684, مصر",464.05,318
